Warning: truncated output (original token count: 119020)
Total output lines: 472

id,area,title,persona,journey,expected,entry_points,qa_status,bug_ids,fix_status,retest_status,fix_commits,evidence,last_report,overlaps,notes
ET-001,ET,Skills list (scoped),Operator/Agent,,`GET /api/skills` returns `{skills:[...]}`; `?workspace=` projects workspace scope; `?for_agent=` projects agent scope (empty `for_agent` → 400). 503 when registry unconfigured.,"`GET /api/skills` (HTTP+UDS), web `/skills` installed tab, `agh__skill_list`",pass,,,,,"internal/api/core/skills.go:18-42,415-459; web/src/routes/_app/skills.tsx:106-136; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json",,,"story: As an operator I list installed skills for global, a workspace, or a specific agent so I see the effective resolved set. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP global/workspace/for_agent lists passed; empty for_agent returned 400. Temporary workspace projection resolved source=workspace for agh override. CLI list passed for global, workspace, and for-agent scopes. Web installed tab remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-002,ET,Skill detail,Operator/Agent,,`GET /api/skills/:name` returns the resolved skill; missing name → 400; unknown → 404 (`ErrSkillNotFound`).,"`GET /api/skills/:name`, web detail panel, `agh__skill_view`",pass,,,,,"skills.go:44-68,385-413; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json",,,story: As an operator I open one skill to read its metadata. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP GET /api/skills/agh returned metadata; unknown skill returned 404. CLI skill info succeeded for agh and failed for unknown skill. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-003,ET,Skill content viewer (verified body),Operator/Agent,,`GET /api/skills/:name/content` returns `{content}`; body is loaded via `LoadContent` which re-runs `VerifyContent` security scan (critical findings block).,"`GET /api/skills/:name/content`, web ""View content"", `agh__skill_view`",pass,,,,,skills.go:70-100; internal/CLAUDE.md load-time scan invariant; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json,,,"story: As an operator I view a skill's full markdown body, re-verified on load. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP content returned bundled AGH body and workspace override body. Temporary critical workspace skill containing a critical verification pattern was blocked from list and content lookup returned 404. CLI skill view passed. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-004,ET,Skill shadow/precedence inspector,Operator,,"`GET /api/skills/:name/shadows` returns ordered shadow declarations (Bundled→Marketplace→User→Additional→Workspace, agent-local overrides all); unknown → 404.","`GET /api/skills/:name/shadows`, web detail shadows section",pass,,,,,skills.go:102-132; web/src/routes/_app/skills.tsx:122-124; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json,,,story: As an operator I inspect every declaration that resolved a skill name to understand which layer won. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || Temporary workspace agh override produced shadow collision; HTTP shadows returned multiple entries with workspace winner first. CLI skill where passed. Web shadows section remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-005,ET,Enable/disable skill (global),Operator/Agent,,`POST /api/skills/:name/enable|disable` → `{ok:true}`; idempotent (already-enabled returns ok); persists via `SetEnabled`.,"`POST /api/skills/:name/{enable,disable}`, web toggle",pass,,,,,skills.go:135-246; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json,,,"story: As an operator I enable or disable a skill globally and it applies immediately. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP global disable succeeded and was idempotent; list reflected enabled=false. CLI enable succeeded, HTTP enable was idempotent, and list reflected enabled=true after cleanup. Web toggle remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-006,ET,Enable/disable skill (per-agent tombstone),Operator/Agent,,"Same endpoints with `?for_agent=` → `SetEnabledForAgent`; agent-not-found → 404, agent-local-invalid → 422 (`mapSkillScopeError`).","`POST /api/skills/:name/{enable,disable}?for_agent=`, web settings agent scope",pass,,,,,"skills.go:151-246,461-472; settings/skills.tsx:319-411; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json",,,story: As an operator I disable a skill only for one agent via a logical tombstone. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP agent-scoped disable succeeded for qa-mock-alpha and for_agent list reflected enabled=false. Unknown agent returned 404. CLI agent-scoped enable succeeded and list reflected enabled=true after cleanup. Agent-local invalid 422 was not reachable with current lab fixtures. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-007,ET,Skill marketplace search,Operator/Agent,,`GET /api/skills/marketplace/search?query=&limit=` returns listings; non-integer limit → 400.,"`GET /api/skills/marketplace/search`, web marketplace tab, `agh__skill_search` (registry)",pass,BUG-0007,fixed,pass,,`skills.go:248-274`; qa/evidence/batch-014-skills-marketplace/et007-et011.json; qa/evidence/batch-014-skills-marketplace/et007-et011-summary.json; qa/issues/BUG-007.md,,,story: As an operator I search a remote skill marketplace. || errors: BUG-007: ClawHub raw slug compatibility and CLI marketplace lifecycle initially failed; fixed raw slug search detail download handling and daemon-backed CLI marketplace routing. || migrated-status: qa=Passed after BUG-007 retest | error=BUG-007 resolved | retest=Retested: HTTP and CLI marketplace search returned review; invalid limit returned 400. || Requires configured marketplace registry; empty query allowed. CLI JSON array detector corrected during retest. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-008,ET,Skill marketplace info,Operator,,`GET /api/skills/marketplace/info?slug=` returns detail; missing slug → 400.,"`GET /api/skills/marketplace/info`, web",pass,BUG-0007,fixed,pass,,`skills.go:276-296`; qa/evidence/batch-014-skills-marketplace/et007-et011.json; qa/evidence/batch-014-skills-marketplace/et007-et011-summary.json; qa/issues/BUG-007.md,,,story: As an operator I view detail metadata for one marketplace skill slug. || errors: BUG-007: current ClawHub info envelope and raw slug support failed before fix. || migrated-status: qa=Passed after BUG-007 retest | error=BUG-007 resolved | retest=Retested: missing slug and invalid path-like slug returned 400; raw slug review returned detail with SKILL.md content. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-009,ET,Skill marketplace install (+visibility verify),Operator/Agent,,"`POST /api/skills/marketplace/install {slug,version}` installs, refreshes registry, then `VerifyInstallVisible`; if not visible → error (logged warning).","`POST /api/skills/marketplace/install` (privileged HTTP), web install, `agh__skill_install`",pass,BUG-0007,fixed,pass,,`skills.go:298-328`; qa/evidence/batch-014-skills-marketplace/et007-et011.json; qa/evidence/batch-014-skills-marketplace/et007-et011-summary.json; qa/issues/BUG-007.md,,,story: As an operator I install a marketplace skill and trust it is now discoverable. || errors: BUG-007: install of raw ClawHub slug failed before compatibility fixes and resource sync; fixed. || migrated-status: qa=Passed after BUG-007 retest | error=BUG-007 resolved | retest=Retested: HTTP install of review returned installed; CLI and HTTP list both showed marketplace review. || Tested the installed-but-not-visible risk through daemon list visibility. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-010,ET,Skill marketplace update (check/apply),Operator/Agent,,"`POST /api/skills/marketplace/update {name|all,check_only}`; `check_only=true` does not refresh registry, otherwise refreshes.","`POST /api/skills/marketplace/update`, web update, `agh__skill_update`",pass,BUG-0007,fixed,pass,,`skills.go:330-357`; qa/evidence/batch-014-skills-marketplace/et007-et011.json; qa/evidence/batch-014-skills-marketplace/et007-et011-summary.json; qa/issues/BUG-007.md,,,story: As an operator I check for or apply updates to installed marketplace skills. || errors: BUG-007: CLI update now uses daemon when running so update checks operate against daemon-visible installed skill. || migrated-status: qa=Passed after BUG-007 retest | error=BUG-007 resolved | retest=Retested: HTTP check and apply returned 200; CLI check returned review. || Verified check_only vs apply branch. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
